"bill_id","term","session","title","keywords","long_title","summary","commem"
"HB98-1067","1997_1998","1998-RS","Unemployment Insurance Cleanup",NA,NA,NA,0
"HB98-1068","1997_1998","1998-RS","Public Safety Communications System",NA,NA,NA,0
"HB98-1069","1997_1998","1998-RS","Local Government Growth Assistance",NA,NA,NA,0
"HB98-1070","1997_1998","1998-RS","Temporary Motor Vehicle Registration",NA,NA,NA,0
"HB98-1071","1997_1998","1998-RS","Clarify Definition Of Substitute Teacher",NA,NA,NA,0
"HB98-1072","1997_1998","1998-RS","Regulation Of Psychotherapy",NA,NA,NA,0
"HB98-1073","1997_1998","1998-RS","Continuation Of MEGA Board",NA,NA,NA,0
"HB98-1074","1997_1998","1998-RS","Continue Utility Consumers' Board",NA,NA,NA,0
"HB98-1075","1997_1998","1998-RS","Motor Vehicle Registration",NA,NA,NA,0
"HB98-1076","1997_1998","1998-RS","Continues The Compliance Advisory Panel",NA,NA,NA,0
"HB98-1077","1997_1998","1998-RS","County Clerk Vehicle Inspection Fees",NA,NA,NA,0
"HB98-1078","1997_1998","1998-RS","Continue Office Of Consumer Counsel",NA,NA,NA,0
"HB98-1079","1997_1998","1998-RS","Prisoner Litigation Reform",NA,NA,NA,0
"HB98-1080","1997_1998","1998-RS","Workers' Comp Funds",NA,NA,NA,0
"HB98-1081","1997_1998","1998-RS","Reporting Of Fuel And Fleet Status",NA,NA,NA,0
"HB98-1082","1997_1998","1998-RS","EBT Replacement Fee",NA,NA,NA,0
"HB98-1083","1997_1998","1998-RS","Payment Of Legal Fees In Civil Actions",NA,NA,NA,0
"HB98-1084","1997_1998","1998-RS","Extension Of Auraria Board",NA,NA,NA,0
"HB98-1085","1997_1998","1998-RS","Direct Payment Of Sales And Use Tax",NA,NA,NA,0
"HB98-1086","1997_1998","1998-RS","Redemption Period For Residential Land",NA,NA,NA,0
"HB98-1087","1997_1998","1998-RS","Reg Of Unpaid Periodical Subscriptions",NA,NA,NA,0
"HB98-1088","1997_1998","1998-RS","Procedural Criminal Laws",NA,NA,NA,0
"HB98-1089","1997_1998","1998-RS","Teacher Evaluations",NA,NA,NA,0
"HB98-1090","1997_1998","1998-RS","Teacher Dismissal Procedures",NA,NA,NA,0
"HB98-1091","1997_1998","1998-RS","Felon Weapon Possession Penalty Increase",NA,NA,NA,0
"HB98-1092","1997_1998","1998-RS","Self Sufficiency & Employment Pilot",NA,NA,NA,0
"HB98-1093","1997_1998","1998-RS","Partisan Elections For RTD Board Members",NA,NA,NA,0
"HB98-1094","1997_1998","1998-RS","Continue Air Science Advisory Board",NA,NA,NA,0
"HB98-1095","1997_1998","1998-RS","School District Retirement Funds",NA,NA,NA,0
"HB98-1096","1997_1998","1998-RS","Regulation Of Scrap Metal As Solid Waste",NA,NA,NA,0
"HB98-1097","1997_1998","1998-RS","Unemployment Insurance Def Of Employer",NA,NA,NA,0
"HB98-1098","1997_1998","1998-RS","Veterinary License By Endorsement",NA,NA,NA,0
"HB98-1099","1997_1998","1998-RS","Managed Competition",NA,NA,NA,0
"HB98-1100","1997_1998","1998-RS","Income Tax Rate Reduction",NA,NA,NA,0
"HB98-1101","1997_1998","1998-RS","Brand Board Fees & Feedlots",NA,NA,NA,0
"HB98-1102","1997_1998","1998-RS","Instant Background Check System",NA,NA,NA,0
"HB98-1103","1997_1998","1998-RS","Inmate Copayments For Medical Services",NA,NA,NA,0
"HB98-1104","1997_1998","1998-RS","Reduction Of Min.  Auto.  Ins.  Cov.  Amts.",NA,NA,NA,0
"HB98-1105","1997_1998","1998-RS","FCPA Reporting In Local Gvmt Elections",NA,NA,NA,0
"HB98-1106","1997_1998","1998-RS","Revision Of Air Control Regulations",NA,NA,NA,0
"HB98-1107","1997_1998","1998-RS","Sentencing Of Juvenile Misdemeanants",NA,NA,NA,0
"HB98-1108","1997_1998","1998-RS","Participation In ED & Unpaid Leave",NA,NA,NA,0
"HB98-1109","1997_1998","1998-RS","Fed Resp Visibility Monitor Class I Areas",NA,NA,NA,0
"HB98-1110","1997_1998","1998-RS","Minor Political Party Ballot Access",NA,NA,NA,0
"HB98-1111","1997_1998","1998-RS","Fraudulent Proof Of Identification",NA,NA,NA,0
"HB98-1112","1997_1998","1998-RS","Elderly & Disabled Assistance Grants",NA,NA,NA,0
"HB98-1113","1997_1998","1998-RS","Instant Scratch Lotteries Based On Bingo",NA,NA,NA,0
"HB98-1114","1997_1998","1998-RS","Implement Constitutional Changes To OAP",NA,NA,NA,0
"HB98-1115","1997_1998","1998-RS","Mobile Home Informed Eviction Notice",NA,NA,NA,0
"HB98-1116","1997_1998","1998-RS","Elim Restrict RTD Bus Service Contracts",NA,NA,NA,0
"HB98-1117","1997_1998","1998-RS","Procedures Re Execution Of Prisoners",NA,NA,NA,0
"HB98-1118","1997_1998","1998-RS","Compulsive Gambling Prevention",NA,NA,NA,0
"HB98-1119","1997_1998","1998-RS","Banking ATM Conform To Fed",NA,NA,NA,0
"HB98-1120","1997_1998","1998-RS","Reestablish Olympic Tax Checkoff",NA,NA,NA,0
"HB98-1121","1997_1998","1998-RS","Continuation Of Veterans Affairs Board",NA,NA,NA,0
"HB98-1122","1997_1998","1998-RS","Arbitration For Car Accidents",NA,NA,NA,0
"HB98-1123","1997_1998","1998-RS","Dept Of Revenue Vehicle Sales Functions",NA,NA,NA,0
"HB98-1124","1997_1998","1998-RS","Trade Secrets Theft Stat Of Limitation",NA,NA,NA,0
"HB98-1125","1997_1998","1998-RS","Construction Statute Of Limitations",NA,NA,NA,0
"HB98-1126","1997_1998","1998-RS","Unemployment Insurance Cleanup",NA,NA,NA,0
"HB98-1127","1997_1998","1998-RS","Underage Drinking And Driving",NA,NA,NA,0
"HB98-1128","1997_1998","1998-RS","Motor Vehicle Sales Transactions",NA,NA,NA,0
"HB98-1129","1997_1998","1998-RS","Limiting Eminent Domain Power",NA,NA,NA,0
"HB98-1130","1997_1998","1998-RS","Crime Victims' Compensation",NA,NA,NA,0
"HB98-1131","1997_1998","1998-RS","Warranties For Facilitative Technology",NA,NA,NA,0
"HB98-1132","1997_1998","1998-RS","County Judges",NA,NA,NA,0
"HB98-1133","1997_1998","1998-RS","Reporting Inmate Benefits Fraud",NA,NA,NA,0
"HB98-1134","1997_1998","1998-RS","Personal Care Services Cap",NA,NA,NA,0
"HB98-1135","1997_1998","1998-RS","Class 1 Felony: Hate Crime Agg.  Factor",NA,NA,NA,0
"HB98-1136","1997_1998","1998-RS","Sec Of State Internet Access",NA,NA,NA,0
"HB98-1137","1997_1998","1998-RS","Transfer Of TANF Funds",NA,NA,NA,0
"HB98-1138","1997_1998","1998-RS","Unlawful Entry For Home Protection Act",NA,NA,NA,0
"HB98-1139","1997_1998","1998-RS","Tobacco-free Schools",NA,NA,NA,0
"HB98-1140","1997_1998","1998-RS","Workers' Comp PPD Schedule",NA,NA,NA,0
"HB98-1141","1997_1998","1998-RS","Terminating Tenancy As Public Nuisance",NA,NA,NA,0
"HB98-1142","1997_1998","1998-RS","Small Group Ins Community Rating",NA,NA,NA,0
"HB98-1143","1997_1998","1998-RS","PERA Health Coverage For Children",NA,NA,NA,0
"HB98-1144","1997_1998","1998-RS","Securing Aggregate Materials",NA,NA,NA,0
"HB98-1145","1997_1998","1998-RS","Local Government Employee Protection",NA,NA,NA,0
"HB98-1146","1997_1998","1998-RS","Teacher Expedited Dismissal Process",NA,NA,NA,0
"HB98-1147","1997_1998","1998-RS","Gen Fund Savings",NA,NA,NA,0
"HB98-1148","1997_1998","1998-RS","Expansion Of Public Records",NA,NA,NA,0
"HB98-1149","1997_1998","1998-RS","Health Care Task Force",NA,NA,NA,0
"HB98-1150","1997_1998","1998-RS","School Dist Tax Auth School Libraries",NA,NA,NA,0
"HB98-1151","1997_1998","1998-RS","Administration Of Ground Water",NA,NA,NA,0
"HB98-1152","1997_1998","1998-RS","Property Tax Modifications",NA,NA,NA,0
"HB98-1153","1997_1998","1998-RS","Patient Record Confidentiality",NA,NA,NA,0
"HB98-1154","1997_1998","1998-RS","Unemployment Benefit Requirements",NA,NA,NA,0
"HB98-1155","1997_1998","1998-RS","Capital Construction By BOCES",NA,NA,NA,0
"HB98-1156","1997_1998","1998-RS","Lifetime Supervision Of Sex Offenders",NA,NA,NA,0
"HB98-1157","1997_1998","1998-RS","Post Retirement Work By Teachers",NA,NA,NA,0
"HB98-1158","1997_1998","1998-RS","Parental Consent To Use Of Student Data",NA,NA,NA,0
"HB98-1159","1997_1998","1998-RS","Employer App Workers' Comp Settlements",NA,NA,NA,0
"HB98-1160","1997_1998","1998-RS","Substantive Changes To Criminal Laws",NA,NA,NA,0
"HB98-1161","1997_1998","1998-RS","Protection From Restraint",NA,NA,NA,0
"HB98-1162","1997_1998","1998-RS","Postsecondary Enrollment Options Tuition",NA,NA,NA,0
"HB98-1163","1997_1998","1998-RS","Municipal Annexation",NA,NA,NA,0
"HB98-1164","1997_1998","1998-RS","At Risk Funding In Charter Schools",NA,NA,NA,0
"HB98-1165","1997_1998","1998-RS","Food Donation Income Tax Credit",NA,NA,NA,0
"HB98-1166","1997_1998","1998-RS","Colo Family And Medical Leave Act",NA,NA,NA,0
"HB98-1167","1997_1998","1998-RS","Testing In Serious Auto Accidents",NA,NA,NA,0
"HB98-1168","1997_1998","1998-RS","Use Of Social Security Numbers",NA,NA,NA,0
"HB98-1169","1997_1998","1998-RS","Alternative Fuels Incentives",NA,NA,NA,0
"HB98-1170","1997_1998","1998-RS","Shooting Ranges",NA,NA,NA,0
"HB98-1171","1997_1998","1998-RS","Charter School Regulation Waivers",NA,NA,NA,0
"HB98-1172","1997_1998","1998-RS","Helmet Requirements",NA,NA,NA,0
"HB98-1173","1997_1998","1998-RS","Motor Vehicle Title Fees",NA,NA,NA,0
"HB98-1174","1997_1998","1998-RS","School Capital Construction Account",NA,NA,NA,0
"HB98-1175","1997_1998","1998-RS","Svcs For Pregnant Women Using Tobacco",NA,NA,NA,0
"HB98-1176","1997_1998","1998-RS","Waste Tire Recycling Reimbursement",NA,NA,NA,0
"HB98-1177","1997_1998","1998-RS","Sex Offenders",NA,NA,NA,0
"HB98-1178","1997_1998","1998-RS","Private Prison Correctional Industries",NA,NA,NA,0
"HB98-1179","1997_1998","1998-RS","Civil Restraining Order",NA,NA,NA,0
"HB98-1180","1997_1998","1998-RS","Conservation Donation Tax Credit",NA,NA,NA,0
"HB98-1181","1997_1998","1998-RS","Ban On Assault Weapons",NA,NA,NA,0
"HB98-1182","1997_1998","1998-RS","Tax Policy Reform",NA,NA,NA,0
"HB98-1183","1997_1998","1998-RS","Child Custody",NA,NA,NA,0
"HB98-1184","1997_1998","1998-RS","Reduction Of Class Size",NA,NA,NA,0
"HB98-1185","1997_1998","1998-RS","K12 Education Tax Incentives",NA,NA,NA,0
"HB98-1186","1997_1998","1998-RS","Teaching Of American Indian Culture",NA,NA,NA,0
"HB98-1187","1997_1998","1998-RS","Driving Restrictions For Minors",NA,NA,NA,0
"HB98-1188","1997_1998","1998-RS","Fair Campaign Practices Act",NA,NA,NA,0
"HB98-1189","1997_1998","1998-RS","Colo Water Conservation Board Projects",NA,NA,NA,0
"HB98-1190","1997_1998","1998-RS","Emergency School Cap Const Projects",NA,NA,NA,0
"HB98-1191","1997_1998","1998-RS","Pub Employee Defined Contribution Plans",NA,NA,NA,0
"HB98-1192","1997_1998","1998-RS","No Oxyfuels In Maintenance SIP",NA,NA,NA,0
"HB98-1193","1997_1998","1998-RS","Use Of Specified Lanes By Motor Vehicles",NA,NA,NA,0
"HB98-1194","1997_1998","1998-RS","Create Judicial Resources Commission",NA,NA,NA,0
"HB98-1195","1997_1998","1998-RS","High Impact Solid Waste Mgmt Apps",NA,NA,NA,0
"HB98-1196","1997_1998","1998-RS","Work Comp No Civil Suits Against Insurer",NA,NA,NA,0
"HB98-1197","1997_1998","1998-RS","Sentences For Juvenile Offenders",NA,NA,NA,0
"HB98-1198","1997_1998","1998-RS","Exceptions To Photo-radar Restrictions",NA,NA,NA,0
"HB98-1199","1997_1998","1998-RS","Adhere Federal Overtime Exemptions",NA,NA,NA,0
"HB98-1200","1997_1998","1998-RS","Local Marketing Districts",NA,NA,NA,0
"HB98-1201","1997_1998","1998-RS","Add Larimer County Court Judge",NA,NA,NA,0
"HB98-1202","1997_1998","1998-RS","Highway Construction Funding",NA,NA,NA,0
"HB98-1203","1997_1998","1998-RS","Deceptive Practices Sale Manufact Homes",NA,NA,NA,0
"HB98-1204","1997_1998","1998-RS","State Nursing Homes",NA,NA,NA,0
"HB98-1205","1997_1998","1998-RS","Carrier Duty Of Care In Health Decisions",NA,NA,NA,0
"HB98-1206","1997_1998","1998-RS","Detox Services Fund For Gaming",NA,NA,NA,0
"HB98-1207","1997_1998","1998-RS","Transportation Of Prisoners",NA,NA,NA,0
"HB98-1208","1997_1998","1998-RS","Except School Employees From Skills Test",NA,NA,NA,0
"HB98-1209","1997_1998","1998-RS","Education Reform",NA,NA,NA,0
"HB98-1210","1997_1998","1998-RS","Infant Immunization Tracking System",NA,NA,NA,0
"HB98-1211","1997_1998","1998-RS","Liquor License Applic Review Standards",NA,NA,NA,0
"HB98-1212","1997_1998","1998-RS","Retention & Refund Of State Excess Revs",NA,NA,NA,0
"HB98-1213","1997_1998","1998-RS","Proof Of Insurance Vehicle Registration",NA,NA,NA,0
"HB98-1214","1997_1998","1998-RS","Farm Equip Sales & Use Tax Exemption",NA,NA,NA,0
"HB98-1215","1997_1998","1998-RS","Civil Penalties For Mortgage Brokers",NA,NA,NA,0
"HB98-1216","1997_1998","1998-RS","Collaborative Drug Therapy Agreements",NA,NA,NA,0
"HB98-1217","1997_1998","1998-RS","Pharmacy Regulation",NA,NA,NA,0
"HB98-1218","1997_1998","1998-RS","Drinking Responsibility Act",NA,NA,NA,0
"HB98-1219","1997_1998","1998-RS","ID Cards For Disabled Persons",NA,NA,NA,0
"HB98-1220","1997_1998","1998-RS","Regulation Of Plumbers - Policy Changes",NA,NA,NA,0
"HB98-1221","1997_1998","1998-RS","Nonprofit Health Care Transfer Of Assets",NA,NA,NA,0
"HB98-1222","1997_1998","1998-RS","No Sales Solicitation Calls List",NA,NA,NA,0
"HB98-1223","1997_1998","1998-RS","Employment Discrimination Penalties",NA,NA,NA,0
"HB98-1224","1997_1998","1998-RS","Bail Recovery",NA,NA,NA,0
"HB98-1225","1997_1998","1998-RS","Peer Assistance Fee For Physicians & Pas",NA,NA,NA,0
"HB98-1226","1997_1998","1998-RS","Limitations On Teaching Health Ed",NA,NA,NA,0
"HB98-1227","1997_1998","1998-RS","Alternative Educational Programs",NA,NA,NA,0
"HB98-1228","1997_1998","1998-RS","Refund Excess By Temp Income Rate Reduc",NA,NA,NA,0
"HB98-1229","1997_1998","1998-RS","Extend HCBS For Mentally Ill",NA,NA,NA,0
"HB98-1230","1997_1998","1998-RS","Self Affirmation On Absentee Ballots",NA,NA,NA,0
"HB98-1231","1997_1998","1998-RS","School District Capital Construction",NA,NA,NA,0
"HB98-1232","1997_1998","1998-RS","Personal Prop Tax Future Purchase Exemp",NA,NA,NA,0
"HB98-1233","1997_1998","1998-RS","On Line Posting Of County Proceedings",NA,NA,NA,0
"HB98-1234","1997_1998","1998-RS","Public School Finance",NA,NA,NA,0
"HB98-1235","1997_1998","1998-RS","Industrial Banks",NA,NA,NA,0
"HB98-1236","1997_1998","1998-RS","Post-boot Camp Placement",NA,NA,NA,0
"HB98-1237","1997_1998","1998-RS","Report On Use Of At Risk Pupil Funds",NA,NA,NA,0
"HB98-1238","1997_1998","1998-RS","Judicial Compensation",NA,NA,NA,0
"HB98-1239","1997_1998","1998-RS","Include Motorcycles In Vehicle Warranty",NA,NA,NA,0
"HB98-1240","1997_1998","1998-RS","State Special Ed Advisory Committee",NA,NA,NA,0
"HB98-1241","1997_1998","1998-RS","Monument Lake Evaporation Problem",NA,NA,NA,0
"HB98-1242","1997_1998","1998-RS","Reduction In PERA Contribution",NA,NA,NA,0
"HB98-1243","1997_1998","1998-RS","Anesthesia For Dental Procedures",NA,NA,NA,0
"HB98-1244","1997_1998","1998-RS","Investment Adviser Regulation",NA,NA,NA,0
"HB98-1245","1997_1998","1998-RS","Dispensing Drugs Via Fax",NA,NA,NA,0
"HB98-1246","1997_1998","1998-RS","Elim State Supplier Database Cash Fund",NA,NA,NA,0
"HB98-1247","1997_1998","1998-RS","Educator Employment Contracts",NA,NA,NA,0
"HB98-1248","1997_1998","1998-RS","Formalities Of Certain Marriages",NA,NA,NA,0
"HB98-1249","1997_1998","1998-RS","Charter School Funding",NA,NA,NA,0
"HB98-1250","1997_1998","1998-RS","Electronic Filing Of State Income Taxes",NA,NA,NA,0
"HB98-1251","1997_1998","1998-RS","Custody Of County Funds",NA,NA,NA,0
"HB98-1252","1997_1998","1998-RS","Mission Of Fort Lewis College",NA,NA,NA,0
"HB98-1253","1997_1998","1998-RS","Payment Of Claims Against County",NA,NA,NA,0
"HB98-1254","1997_1998","1998-RS","Oil And Gas Regulation",NA,NA,NA,0
"HB98-1255","1997_1998","1998-RS","Uniformity In Financial Crimes",NA,NA,NA,0
"HB98-1256","1997_1998","1998-RS","Retain Excess Revs For Gov Needs",NA,NA,NA,0
"HB98-1257","1997_1998","1998-RS","Forfeiture Reqs In Res Care Facilities",NA,NA,NA,0
"HB98-1258","1997_1998","1998-RS","Rural Phone Company Local Rate Increases",NA,NA,NA,0
"HB98-1259","1997_1998","1998-RS","Alternative Workers' Comp Penalties",NA,NA,NA,0
"HB98-1260","1997_1998","1998-RS","Restrictions On Local Firearm Ordinances",NA,NA,NA,0
"HB98-1261","1997_1998","1998-RS","School District Reorganization",NA,NA,NA,0
"HB98-1262","1997_1998","1998-RS","Requirements For Local Gov Audits",NA,NA,NA,0
"HB98-1263","1997_1998","1998-RS","Excess Rev For K12 Higher Ed & Highways",NA,NA,NA,0
"HB98-1264","1997_1998","1998-RS","Discovery Procedures In Class 1 Felonies",NA,NA,NA,0
"HB98-1265","1997_1998","1998-RS","Seat Belt Violations As Primary Offense",NA,NA,NA,0
"HB98-1266","1997_1998","1998-RS","Personal Income Tax Modifications",NA,NA,NA,0
"HB98-1267","1997_1998","1998-RS","Educational Reforms",NA,NA,NA,0
"HB98-1268","1997_1998","1998-RS","Hate Crimes",NA,NA,NA,0
"HB98-1269","1997_1998","1998-RS","Use Tax Exemption For Donations",NA,NA,NA,0
"HB98-1270","1997_1998","1998-RS","Civil Rights Based On Sexual Orientation",NA,NA,NA,0
"HB98-1271","1997_1998","1998-RS","State Estate Taxes",NA,NA,NA,0
"HB98-1272","1997_1998","1998-RS","Domestic Violence",NA,NA,NA,0
"HB98-1273","1997_1998","1998-RS","School Bus Operation Safety",NA,NA,NA,0
"HB98-1274","1997_1998","1998-RS","Executive Director Allocation Of Powers",NA,NA,NA,0
"HB98-1275","1997_1998","1998-RS","Excess Revenue Prop Tax Reduction",NA,NA,NA,0
"HB98-1276","1997_1998","1998-RS","Availability Of Student Information",NA,NA,NA,0
"HB98-1277","1997_1998","1998-RS","GAL Training Standards",NA,NA,NA,0
"HB98-1278","1997_1998","1998-RS","Class Size Reduction Pilot Program",NA,NA,NA,0
"HB98-1279","1997_1998","1998-RS","Alumni License Plates",NA,NA,NA,0
"HB98-1280","1997_1998","1998-RS","Cash Fund Provisions",NA,NA,NA,0
"HB98-1281","1997_1998","1998-RS","Expansion Of RTD Privatization",NA,NA,NA,0
"HB98-1282","1997_1998","1998-RS","Type 1 Agencies",NA,NA,NA,0
"HB98-1283","1997_1998","1998-RS","Municipal Liens",NA,NA,NA,0
"HB98-1284","1997_1998","1998-RS","Electric Utility Industry Restructuring",NA,NA,NA,0
"HB98-1285","1997_1998","1998-RS","Conditions Upon Electric Deregulation",NA,NA,NA,0
"HB98-1286","1997_1998","1998-RS","Intact Dilat & Extract As Unprof Conduct",NA,NA,NA,0
"HB98-1287","1997_1998","1998-RS","State Park Fees For The Disabled",NA,NA,NA,0
"HB98-1288","1997_1998","1998-RS","Water Project Assistance Process",NA,NA,NA,0
"HB98-1289","1997_1998","1998-RS","Securing Vehicle Loads",NA,NA,NA,0
"HB98-1290","1997_1998","1998-RS","Educational Waivers",NA,NA,NA,0
"HB98-1291","1997_1998","1998-RS","Division Of Wildlife Licenses",NA,NA,NA,0
"HB98-1292","1997_1998","1998-RS","Sale Of Liquor",NA,NA,NA,0
"HB98-1293","1997_1998","1998-RS","Veteran Public Job Preferences",NA,NA,NA,0
"HB98-1294","1997_1998","1998-RS","Temporomandibular Disorders Ins Parity",NA,NA,NA,0
"HB98-1295","1997_1998","1998-RS","Redevelopment Plan For HSC Property",NA,NA,NA,0
"HB98-1296","1997_1998","1998-RS","Early Ed And School Readiness Program",NA,NA,NA,0
"HB98-1297","1997_1998","1998-RS","Trust Requirements For Insurers",NA,NA,NA,0
"HB98-1298","1997_1998","1998-RS","Alternative Chartering Authority",NA,NA,NA,0
"HB98-1299","1997_1998","1998-RS","Bingo Sunset Review Policy Changes",NA,NA,NA,0
"HB98-1300","1997_1998","1998-RS","Oversight Of Public Defenders Office",NA,NA,NA,0
"HB98-1301","1997_1998","1998-RS","Privately Funded Ed Vouchers",NA,NA,NA,0
"HB98-1302","1997_1998","1998-RS","Deductions For Political Contributions",NA,NA,NA,0
"HB98-1303","1997_1998","1998-RS","Municipal Designation Of RTD Routes",NA,NA,NA,0
"HB98-1304","1997_1998","1998-RS","Funding of Transportation Projects",NA,NA,NA,0
"HB98-1305","1997_1998","1998-RS","County Boundary Adjustments",NA,NA,NA,0
"HB98-1306","1997_1998","1998-RS","Work Comp Criteria To End TTD",NA,NA,NA,0
"HB98-1307","1997_1998","1998-RS","Adoption And Safe Families",NA,NA,NA,0
"HB98-1308","1997_1998","1998-RS","Concentrated Animal Feeding Operations",NA,NA,NA,0
"HB98-1309","1997_1998","1998-RS","Diabetes Health Care Coverage",NA,NA,NA,0
